USE NNV;
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (1, 1, 1, 6294522 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (2, 2, 2, 1885469 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (3, 3, 3, 5143188 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (4, 4, 4, 6453038 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (5, 5, 5, 9175259 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (6, 6, 6, 9241093 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (7, 7, 7, 3408197 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (8, 8, 8, 7687687 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (9, 9, 9, 8597911 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (10, 10, 10, 960872 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (11, 11, 11, 5679114 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (12, 12, 12, 8704618 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (13, 13, 13, 5850325 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (14, 14, 14, 9051671 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (15, 15, 15, 9115808 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (16, 16, 16, 3696292 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (17, 17, 17, 1573269 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (18, 18, 18, 4426461 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (19, 19, 19, 6838331 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (20, 20, 20, 5386497 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (21, 21, 21, 8783710 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (22, 22, 22, 7682361 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (23, 23, 23, 2107881 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (24, 24, 24, 8525838 );
INSERT INTO Cart (cartID, userID, productID, total_amount) VALUES (25, 25, 25, 4000495 );
