USE NNV;
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 50, 1, 2017-08-17, 15, 'get the second pair at half price', '1' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 33, 2, 2020-04-28, 37, 'Buy 2', '2' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 16, 3, 2009-06-22, 61, 'Receive a complimentary gift card with the purchase of any gift set', '3' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 6, 4, 2022-03-25, 44, 'Buy one', '4' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 91, 5, 2016-04-04, 46, '', '5' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 5, 6, 2016-03-16, 22, 'Buy 2', '6' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 52, 7, 2000-09-19, 18, 'get one free on all smoothie flavors', '7' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 16, 8, 2013-03-23, 62, '', '8' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 28, 9, 2012-01-08, 11, 'Buy one', '9' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 100, 10, 2009-10-27, 44, 'Buy one', '10' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 31, 11, 2016-10-05, 52, 'Get a free appetizer sampler with the purchase of two entrees', '11' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 88, 12, 2007-02-22, 22, '', '12' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 70, 13, 2016-04-14, 60, '', '13' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 88, 14, 2003-04-04, 27, 'Enjoy a free coffee with any breakfast item purchase', '14' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 92, 15, 2011-05-01, 28, 'Receive a complimentary drink with any dinner special', '15' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 11, 16, 2009-07-03, 18, 'get 1 free on all organic skincare products', '16' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 12, 17, 2020-04-02, 17, 'Enjoy a free upgrade to expedited shipping on any order', '17' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 5, 18, 2007-02-05, 24, 'get 1 free on all protein powder varieties', '18' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 72, 19, 2023-12-10, 64, 'Take $5 off your next purchase when you sign up for our newsletter', '19' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 74, 20, 2023-08-15, 25, 'Enjoy a free upgrade to a deluxe room with any hotel booking', '20' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 27, 21, 2011-05-29, 41, '', '21' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 96, 22, 2001-02-09, 18, '', '22' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 26, 23, 2012-01-13, 12, '', '23' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 98, 24, 2021-09-21, 12, 'Buy 2', '24' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 94, 25, 2004-08-17, 10, 'Take $5 off your next purchase when you sign up for our newsletter', '25' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 99, 26, 2019-10-23, 29, 'get one free on all classic board games', '26' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 87, 27, 2016-01-30, 27, 'Enjoy a free upgrade to a deluxe car wash', '27' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 78, 28, 2020-01-28, 67, 'Receive a complimentary grooming session with any pet boarding reservation', '28' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 8, 29, 2013-10-24, 40, 'Receive a complimentary appetizer with the purchase of any bottle of wine', '29' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 91, 30, 2019-11-05, 15, '', '30' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 74, 31, 2000-02-25, 70, 'Buy one', '31' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 78, 32, 2002-05-18, 33, 'Take $15 off your next purchase of $75 or more', '32' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 27, 33, 2000-08-29, 57, '', '33' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 30, 34, 2016-11-06, 31, 'Enjoy a free upgrade to a premium subscription for 7 days', '34' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 74, 35, 2006-03-11, 67, 'Get a free accessory with the purchase of any sunglasses', '35' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 61, 36, 2001-02-15, 15, 'Enjoy a free trial of our premium subscription for 30 days', '36' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 52, 37, 2018-07-02, 11, 'Take $25 off your first purchase when you join our loyalty program', '37' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 49, 38, 2000-02-08, 53, '', '38' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 21, 39, 2014-01-16, 55, '', '39' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 84, 40, 2003-04-06, 56, '', '40' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 89, 41, 2020-03-10, 30, 'Receive a complimentary dessert with the purchase of any family meal', '41' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 25, 42, 2018-02-19, 15, '', '42' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 66, 43, 2019-05-16, 47, 'Receive a complimentary dessert with the purchase of any family meal', '43' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 10, 44, 2013-05-16, 55, '', '44' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 64, 45, 2010-01-08, 54, 'Buy one', '45' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 67, 46, 2020-08-02, 61, '', '46' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 90, 47, 2012-07-29, 12, 'Take $15 off any service when you book online', '47' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 33, 48, 2023-10-27, 18, 'Receive a complimentary grooming session with any pet boarding reservation', '48' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 5, 49, 2019-09-16, 44, '', '49' );
INSERT INTO Coupans (adminID, userID, coupanID, expiry_date, discount_percentage, description, coupan_code) VALUES (1, 32, 50, 2016-04-14, 66, 'Get a free trial of our streaming service for 1 month', '50' );
