USE NNV;
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (1, 1, 55, 02, 'Oakridge', 'Tayasan', 41035, 'Mississippi', 284376, 14 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (2, 2, 44, 92, 'Kinsman', 'Tuanlin', 26506, 'Vermont', 712618, 282 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (3, 3, 10, 50, 'Hansons', 'Jiaqu', 28591, 'Mississippi', 70819, 13 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (4, 4, 73, 87, 'Scoville', 'Biguo', 56392, 'Louisiana', 320776, 263 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (5, 5, 36, 17, 'Westridge', 'Akriní', 50081, 'Missouri', 761993, 86 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (6, 6, 55, 7, 'Longview', 'Douala', 25731, 'Iowa', 875069, 169 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (7, 7, 52, 4511, 'Eastlawn', 'Głowno', 16928, 'Minnesota', 749171, 74 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (8, 8, 22, 45436, 'Anthes', 'Hicksville', 32841, 'Hawaii', 237977, 186 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (9, 9, 66, 24, 'Marquette', 'Hässleholm', 47841, 'Maryland', 227591, 223 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (10, 10, 35, 7330, 'Hanson', 'Owczarnia', 36892, 'New Jersey', 94837, 107 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (11, 11, 32, 0958, 'Starling', 'Askersund', 13669, 'Washington', 325954, 59 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (12, 12, 1, 55718, 'Dovetail', 'Puputan', 15430, 'Florida', 502806, 254 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (13, 13, 73, 4372, 'Acker', 'Zdolbuniv', 15817, 'South Dakota', 896937, 288 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (14, 14, 97, 80562, 'Nova', 'São Mateus do Sul', 34960, 'Oklahoma', 636510, 277 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (15, 15, 51, 28466, 'Montana', 'Xindeng', 27886, 'Georgia', 923623, 157 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (16, 16, 33, 9, 'Del Mar', 'Chanuman', 22199, 'Connecticut', 3935, 95 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (17, 17, 56, 232, 'Main', 'Taavetti', 46141, 'Alaska', 950479, 211 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (18, 18, 27, 1, 'Farmco', 'Oslo', 27517, 'New Mexico', 925405, 27 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (19, 19, 61, 39065, 'Shopko', 'Patenongan', 25993, 'Wisconsin', 983780, 276 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (20, 20, 90, 29144, 'Victoria', 'Gravatá', 56123, 'Missouri', 921585, 125 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (21, 21, 91, 252, 'North', 'Maubasa', 37526, 'Kentucky', 449791, 93 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (22, 22, 76, 5, 'Green Ridge', 'Xijiang', 31263, 'Louisiana', 790241, 27 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (23, 23, 14, 0122, 'Grover', 'Sancti Spíritus', 15805, 'Virginia', 908340, 226 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (24, 24, 43, 05692, 'Granby', 'Hanjiaji', 20629, 'Arizona', 336713, 184 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (25, 25, 45, 863, 'Trailsway', 'Muroto-misakicho', 42719, 'Kansas', 217072, 89 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (26, 26, 53, 7, 'Delaware', 'Al Masallamiyya', 38681, 'Maine', 389436, 85 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (27, 27, 3, 55, 'Independence', 'Jinhe', 31123, 'Alaska', 624524, 8 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (28, 28, 38, 1954, 'Graceland', 'Dingzhai', 39949, 'Colorado', 359537, 119 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (29, 29, 86, 766, 'Granby', 'Tobol', 42481, 'Tennessee', 51481, 291 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (30, 30, 47, 09819, 'Colorado', 'Alkmaar', 47990, 'Nebraska', 623763, 115 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (31, 31, 42, 766, 'Butterfield', 'Canggou', 57732, 'North Dakota', 323026, 130 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (32, 32, 99, 6, 'Morningstar', 'Shuakhevi', 11527, 'Connecticut', 615387, 295 );
INSERT INTO Order (orderID, userID, coupanID, house_number, street_name, city, pincode, state, total_amount, transactionID) VALUES (33, 33, 28, 97715, 'Ridge Oak', 'Farsta', 41810, 'New Hampshire', 16160, 292 );
