USE NNV;
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (1, 1, 1, 2012-03-01, 1340063, 'Failed', 'Credit Card' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (2, 2, 2, 2021-12-01, , 'Failed', 'Debit Card' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (3, 3, 3, 2020-12-16, 3372378, '', 'PayPal' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (4, 4, 4, 2012-07-13, 9223659, 'Failed', 'Cash' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (5, 5, 5, 2010-02-05, 4418177, 'Success', 'Bank Transfer' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (6, 6, 6, 2021-03-03, 3204517, '', 'Cryptocurrency' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (7, 7, 7, 2020-02-27, 7091225, 'Failed', 'Venmo' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (8, 8, 8, 2022-05-19, , 'Success', 'Apple Pay' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (9, 9, 9, 2019-01-27, 4402858, 'Failed', 'Google Pay' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (10, 10, 10, 2019-05-21, 1447273, 'Success', 'Cash App' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (11, 11, 11, 2022-02-16, , 'Success', 'Stripe' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (12, 12, 12, 2014-09-30, 8307310, 'Failed', 'Square' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (13, 13, 13, 2012-09-07, 7398789, 'Failed', 'Visa' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (14, 14, 14, 2019-06-20, 5601122, 'Failed', 'MasterCard' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (15, 15, 15, 2019-04-15, 8924251, 'Success', 'American Express' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (16, 16, 16, 2010-01-21, 3484521, 'Failed', 'Discover' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (17, 17, 17, 2016-02-21, 6765527, 'Failed', 'Diners Club' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (18, 18, 18, 2019-04-13, , 'Success', 'JCB' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (19, 19, 19, 2016-04-24, , 'Failed', 'Direct Debit' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (20, 20, 20, 2019-06-25, , 'Success', 'ACH Transfer' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (21, 21, 21, 2014-04-10, , 'Success', 'Wire Transfer' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (22, 22, 22, 2018-05-21, 4725665, 'Failed', 'Money Order' );
INSERT INTO Transactions (transactionID, orderID, userID, date_of_transaction, amount, transaction_status, payment_name) VALUES (23, 23, 23, 2016-09-15, , '', 'Cheque' );
